Sl. No.,Constituency,MP Name,MP Name (Hindi),Initial Party,Date,New Party,State
1,Araku,Goddeti Madhavi,गोदेती माधवी,YSR Congress Party,,,Andhra Pradesh
2,Srikakulam,Ram Mohan Naidu Kinjarapu,राम मोहन नायडू किंजरापु,Telugu Desam Party,,,Andhra Pradesh
3,Vizianagaram,Bellana Chandra Sekhar,बेल्लाना चंद्र शेखर,YSR Congress Party,,,Andhra Pradesh
4,Visakhapatnam,M. V. V. Satyanarayana,एम. वी. वी. सत्यनारायण,YSR Congress Party,,,Andhra Pradesh
5,Anakapalli,Beesetti Venkata Satyavathi,बीसेट्टी वेंकट सत्यवती,YSR Congress Party,,,Andhra Pradesh
6,Kakinada,Vanga Geetha,वंगा गीता,YSR Congress Party,,,Andhra Pradesh
7,Amalapuram (SC),Chinta Anuradha,चिंता अनुराधा,YSR Congress Party,,,Andhra Pradesh
8,Rajahmundry,Margani Bharat,मार्गानी भारत,YSR Congress Party,,,Andhra Pradesh
9,Narasapuram,Raghu Rama Krishna Raju,रघु राम कृष्ण राजू,YSR Congress Party,24-02-2024,Telugu Dasam Party,Andhra Pradesh
10,Eluru,Kotagiri Sridhar,कोटागिरी श्रीधर,YSR Congress Party,,,Andhra Pradesh
11,Machilipatnam,Vallabhaneni Balasouri,वल्लभानेनी बालासौरी,YSR Congress Party,14-01-2024,Jana Sena Party,Andhra Pradesh
12,Vijayawada,Kesineni Srinivas ,केसिनेनी श्रीनिवास,Telugu Desam Party,,,Andhra Pradesh
13,Guntur,Galla Jayadev,जयदेव गाल्ला,Telugu Desam Party,,,Andhra Pradesh
14,Narasaraopet,Lavu Sri Krishna Devarayalu,लावू श्री कृष्ण देवरायालु,YSR Congress Party,,,Andhra Pradesh
15,Bapatla,Nandigam Suresh,नंदीगम सुरेश,YSR Congress Party,,,Andhra Pradesh
16,Ongole,Magunta Sreenivasulu Reddy,मागुंटा श्रीनिवासुलु रेड्डी,YSR Congress Party,28-02-2024,Telugu Dasam Party,Andhra Pradesh
17,Nandyal,Pocha Brahmananda Reddy,पोचा ब्रह्मानंद रेड्डी,YSR Congress Party,,,Andhra Pradesh
18,Kurnool,Sanjeev Kumar ,संजीव कुमार,YSR Congress Party,,,Andhra Pradesh
19,Anantapur,Talari Rangaiah,तलारी रंगैया,YSR Congress Party,,,Andhra Pradesh
20,Hindupur,Kuruva Gorantla Madhav,कुरुवा गोरंटला माधव,YSR Congress Party,,,Andhra Pradesh
21,Kadapa,Y. S. Avinash Reddy,वाई. एस. अविनाश रेड्डी,YSR Congress Party,,,Andhra Pradesh
22,Nellore,Adala Prabhakara Reddy,अदला प्रभाकर रेड्डी,YSR Congress Party,,,Andhra Pradesh
23.1,Tirupati (SC),Balli Durga Prasad Rao,बल्ली दुर्गा प्रसाद राव,YSR Congress Party,,,Andhra Pradesh
23.2,Tirupati (SC),Maddila Gurumoorthy,मद्दिला गुरुमूर्ति,YSR Congress Party,,,Andhra Pradesh
24,Rajampet,P. V. Midhun Reddy,पी. वी. मिधुन रेड्डी,YSR Congress Party,,,Andhra Pradesh
25,Chittoor (SC),N. Reddeppa,एन. रेड्डेप्पा,YSR Congress Party,,,Andhra Pradesh
26,Arunachal West,Kiren Rijiju,किरेन रिजीजू,Bharatiya Janata Party,,,Arunachal Pradesh
27,Arunachal East,Tapir Gao,तपीर गाओ,Bharatiya Janata Party,,,Arunachal Pradesh
28,Karimganj,Kripanath Mallah,कृपानाथ मल्लाह,Bharatiya Janata Party,,,Assam
29,Silchar,Rajdeep Roy,राजदीप रॉय,Bharatiya Janata Party,,,Assam
30,Autonomous District (ST),Horen Sing Bey,होरेन सिंग बे,Bharatiya Janata Party,,,Assam
31,Dhubri,Badruddin Ajmal,बदरुद्दीन अजमल,All India United Democratic Front,,,Assam
32,Kokrajhar,Naba Kumar Sarania,नाबा कुमार सरणिया (हीरा),Independent,,,Assam
33,Barpeta,Abdul Khaleque,अब्दुल खालेक,Indian National Congress,,,Assam
34,Gauhati,Queen Oja,कुइन उजा,Bharatiya Janata Party,,,Assam
35,Mangaldoi,Dilip Saikia,दिलीप सैकिया,Bharatiya Janata Party,,,Assam
36,Tezpur,Pallab Lochan Das,पल्लब लोचन दास,Bharatiya Janata Party,,,Assam
37,Nowgong,Pradyut Bordoloi,प्रद्युत बोरदोलोई,Indian National Congress,,,Assam
38,Kaliabor,Gaurav Gogoi,गौरव गोगोई,Indian National Congress,,,Assam
39,Jorhat,Topon Kumar Gogoi,तपन कुमार गोगोई,Bharatiya Janata Party,,,Assam
40,Dibrugarh,Rameswar Teli,रामेश्वर तेली,Bharatiya Janata Party,,,Assam
41,Lakhimpur,Pradan Baruah,प्रदान बरुआह,Bharatiya Janata Party,,,Assam
42.1,Valmiki Nagar,Baidyanath Prasad Mahto ,बैद्यनाथ प्रसाद महतो,Janata Dal (United),,,Bihar
42.2,Valmiki Nagar,Sunil Kumar ,सुनील कुमार,Janata Dal (United),,,Bihar
43,Paschim Champaran,Sanjay Jaiswal,संजय जायसवाल,Bharatiya Janata Party,,,Bihar
44,Purvi Champaran,Radha Mohan Singh,राधा मोहन सिंह,Bharatiya Janata Party,,,Bihar
45,Sheohar,Rama Devi,रमा देवी,Bharatiya Janata Party,,,Bihar
46,Sitamarhi,Sunil Kumar Pintu,सुनील कुमार पिंटू,Janata Dal (United),,,Bihar
47,Madhubani,Ashok Kumar Yadav,अशोक कुमार यादव,Bharatiya Janata Party,,,Bihar
48,Jhanjharpur,Ramprit Mandal,रामप्रीत मंडल,Janata Dal (United),,,Bihar
