Sl. No.,Constituency,MP Name,MP Name (Hindi),Initial Party,Date,New Party,state
1,Andaman and Nicobar Islands,Bishnu Pada Ray,विष्णु पद रे,Bharatiya Janata Party,,,Andaman and Nicobar Islands
2,Araku,Gumma Thanuja Rani,गुम्मा थानुजा रानी,YSR Congress Party,,,Andhra Pradesh
3,Srikakulam,Kinjarapu Ram Mohan Naidu,किंजरापु राममोहन नायडू,Telugu Desam Party,,,Andhra Pradesh
4,Vizianagaram,Appalanaidu Kalisetti,अप्पलानायडू कालीसेट्टी,Telugu Desam Party,,,Andhra Pradesh
5,Visakhapatnam,Mathukumilli Bharat,श्रीभारत मथुकुमिली,Telugu Desam Party,,,Andhra Pradesh
6,Anakapalli,C. M. Ramesh,चिंताकुंटा मुनुस्वामी रमेश,Bharatiya Janata Party,,,Andhra Pradesh
7,Kakinada,Tangella Uday Srinivas,तांगेला उदय श्रीनिवास,Janasena Party,,,Andhra Pradesh
8,Amalapuram,Ganti Harish Madhur,गंटी हरीश माथुर,Telugu Desam Party,,,Andhra Pradesh
9,Rajahmundry,Daggubati Purandeswari,दग्गुबती पुरंदेश्वरी,Bharatiya Janata Party,,,Andhra Pradesh
10,Narasapuram,Bhupathi Raju Srinivasa Varma,भूपति राजू श्रीनिवास वर्मा,Bharatiya Janata Party,,,Andhra Pradesh
11,Eluru,Putta Mahesh Kumar,पुट्टा महेश कुमार,Telugu Desam Party,,,Andhra Pradesh
12,Machilipatnam,Vallabhaneni Balashowry,बालाशौरी वल्लभानेनी,Janasena Party,,,Andhra Pradesh
13,Vijayawada,Kesineni Sivanath,केसिनेनी शिवनाथ (चिन्नी),Telugu Desam Party,,,Andhra Pradesh
14,Guntur,Chandra Sekhar Pemmasani,चन्द्रशेखर पेम्मासानी,Telugu Desam Party,,,Andhra Pradesh
15,Narasaraopet,Lavu Sri Krishna Devarayalu,लावु श्री कृष्ण देवरायलु,Telugu Desam Party,,,Andhra Pradesh
16,Bapatla (SC),Krishna Prasad Tenneti,कृष्ण प्रसाद टेनेटी,Telugu Desam Party,,,Andhra Pradesh
17,Ongole,Magunta Sreenivasulu Reddy,मगुंटा श्रीनिवासुलु रेड्डी,Telugu Desam Party,,,Andhra Pradesh
18,Nandyal,Byreddy Shabari,बायरेड्डी शबरी,Telugu Desam Party,,,Andhra Pradesh
19,Kurnool,Bastipati Nagaraju Panchalingala,बस्तीपति नागराजू पंचलिंगला,Telugu Desam Party,,,Andhra Pradesh
20,Anantapur,Ambika Lakshminarayana,अंबिका जी लक्ष्मीनारायण वाल्मीकि,Telugu Desam Party,,,Andhra Pradesh
