Minister,(Hindi names),Took_Office,Left_Office,Party
A. K. Antony,ए के एंटोनी,23-May-09,26-May-14,Indian National Congress
Manmohan Singh,मनमोहन सिंह,19-May-11,12-Jul-11,Indian National Congress
Mukul Roy,मुकुल रॉय,20-Mar-12,22-Sep-12,Trinamool Congress
S. M. Krishna,एस एम कृष्णा,23-May-09,27-Oct-12,Indian National Congress
Selja Kumari,शैलजा कुमारी,19-Jan-11,28-Oct-12,Indian National Congress
Chandresh Kumari Katoch,चंद्रेश कुमारी कटोच,28-Oct-12,26-May-14,Indian National Congress
Vilasrao Deshmukh,विलासराव देशमुख,28-May-09,19-Jan-11,Indian National Congress
Ghulam Nabi Azad,ग़ुलाम नबी आज़ाद,28-May-09,26-May-14,Indian National Congress
Ashwani Kumar,अश्वनी कुमार,28-Oct-12,11-May-13,Indian National Congress
Oscar Fernandes,ऑस्कर फर्नांडिस,16-Jun-13,26-May-14,Indian National Congress
Vayalar Ravi,वायलर रवि,28-May-09,26-May-14,Indian National Congress
Anand Sharma,आनंद शर्मा,12-Jul-11,17-Jun-13,Indian National Congress
Murli Deora,मुरली देवड़ा,28-May-09,19-Jan-11,Indian National Congress
Ambika Soni,अंबिका सोनी,28-May-09,27-Oct-12,Indian National Congress
Jairam Ramesh,जयराम रमेश,12-Jul-11,26-May-14,Indian National Congress
K. Chiranjeevi,के. चिरंजीवि,28-Oct-12,26-May-14,Indian National Congress
M. S. Gill,मनोहर सिंह गिल,28-May-09,19-Jan-11,Indian National Congress
G. K. Vasan,जी. के. वासन,28-May-09,26-May-14,Indian National Congress
Prithviraj Chavan,पृथ्वीराज चव्हाण,28-May-09,10-Nov-10,Indian National Congress
K. Rahman Khan,के रहमान खान,28-Oct-12,26-May-14,Indian National Congress
Jayanthi Natarajan,जयंती नटराजन,12-Jul-11,21-Dec-13,Indian National Congress
R.P.N. Singh,आरपीएन सिंह,28-Oct-12,26-May-14,Indian National Congress
Rajeev Shukla,राजीव शुक्ला,28-Oct-12,26-May-14,Indian National Congress
E. M. Sudarsana Natchiappan,ई. एम. सुदर्शन नट्चियप्पन,17-Jun-13,26-May-14,Indian National Congress
Jesudasu Seelam,जेसुडासु सीलम,17-Jun-13,26-May-14,Indian National Congress
Arun Yadav,अरुण सुभाषचन्द्र यादव,19-Jan-11,12-Jul-11,Indian National Congress
Tariq Anwar,तारीक़ अनवर,28-Oct-12,26-May-14,Nationalist Congress Party
Vincent Pala,विन्सेंट पाला,28-May-09,27-Oct-12,Indian National Congress
