Minister,(Hindi Names),Took_Office,Left_Office,Party
M. Venkaiah Naidu,वेंकैया नायडू ,27-05-2014,06-07-2017,Bharatiya Janata Party
Smriti Irani,स्मृति ईरानी ,05-07-2016,30-05-2019,Bharatiya Janata Party
Chaudhary Birender Singh,बिरेंद्र सिंह ,05-07-2016,30-05-2019,Bharatiya Janata Party
V. K. Singh,विजय कुमार सिंह ,09-11-2014,05-07-2016,Bharatiya Janata Party
Thawar Chand Gehlot,थावरचंद गहलोत ,27-05-2014,30-05-2019,Bharatiya Janata Party
Dharmendra Pradhan,धर्मेंद्र प्रधान ,03-09-2017,30-05-2019,Bharatiya Janata Party
Suresh Prabhu,सुरेश प्रभु ,09-11-2014,03-09-2017,Bharatiya Janata Party
Piyush Goyal,पीयूष गोयल ,03-09-2017,30-05-2019,Bharatiya Janata Party
Najma Heptulla,नजमा हेपतुल्ला ,27-05-2014,12-07-2016,Bharatiya Janata Party
Mukhtar Abbas Naqvi,मुख्तार अब्बास नकवी,12-07-2016,03-09-2017,Bharatiya Janata Party
Ravi Shankar Prasad,रवि शंकर प्रसाद ,27-05-2014,09-11-2014,Bharatiya Janata Party
Prakash Javadekar,प्रकाश जावड़ेकर ,27-05-2014,09-11-2014,Bharatiya Janata Party
Arun Jaitley,अरुण जेटली ,09-11-2014,05-07-2016,Bharatiya Janata Party
Jagat Prakash Nadda,जगत प्रकाश नड्डा ,09-11-2014,30-05-2019,Bharatiya Janata Party
Anil Madhav Dave,अनिल माधव दवे ,05-07-2016,18-05-2017,Bharatiya Janata Party
Manohar Parrikar,मनोहर पर्रिकर ,09-11-2014,13-03-2017,Bharatiya Janata Party
Nirmala Sitharaman,निर्मला सीतारमण ,03-09-2017,30-05-2019,Bharatiya Janata Party
Vijay Goel,विजय गोयल ,05-07-2016,03-09-2017,Bharatiya Janata Party
Alphons Kannanthanam,अल्फोंस कन्ननथनम ,03-09-2017,30-05-2019,Bharatiya Janata Party
Hardeep Singh Puri,हरदीप सिंह पुरी ,03-09-2017,30-05-2019,Bharatiya Janata Party
M. J. Akbar,एम. जे. अकबर,05-07-2016,17-10-2018,Bharatiya Janata Party
Shiv Pratap Shukla,शिव प्रताप शुक्ल,03-09-2017,30-05-2019,Bharatiya Janata Party
Hansraj Ahir,हंसराज अहिर,09-11-2014,05-07-2016,Bharatiya Janata Party
Mansukh Mandaviya,मंसुख मांडविया,05-07-2016,30-05-2019,Bharatiya Janata Party
Parshottam Rupala,पार्श्वोत्तम रूपाला,05-07-2016,30-05-2019,Bharatiya Janata Party
Ramdas Athawale,रामदास आठवले,05-07-2016,30-05-2019,Republican Party Of India (A)
Y. S. Chowdary,वाई. एस. चौधरी,09-11-2014,09-03-2018,Telugu Desam Party
