MINISTER (ENGLISH),MINISTER (HINDI),TOOK OFFICE,LEFT OFFICE,PARTY
Jagat Prakash Nadda,जगत प्रकाश नड्डा,09-Jun-24,Incumbent,Bharatiya Janata Party
Nirmala Sitharaman,निर्मला सीतारामन्,09-Jun-24,Incumbent,Bharatiya Janata Party
S. Jaishankar,सुब्रह्मण्यम जयशंकर,09-Jun-24,Incumbent,Bharatiya Janata Party
Lalan Singh,राजीव रंजन सिंह,09-Jun-24,Incumbent,Janata Dal (United)
Ashwini Vaishnaw,अश्विनी वैष्णव,09-Jun-24,Incumbent,Bharatiya Janata Party
Hardeep Singh Puri,हरदीप सिंह पुरी,09-Jun-24,Incumbent,Bharatiya Janata Party
Prataprao Ganpatrao Jadhav,प्रतापराव गणपतराव जाधव,09-Jun-24,Incumbent,Shiv Sena
Jayant Chaudhary,जयंत चौधरी,09-Jun-24,Incumbent,Rashtriya Lok Dal
L. Murugan,एल. मुरुगन,09-Jun-24,Incumbent,Bharatiya Janata Party
Shripad Yesso Naik,श्रीपद येस्सो नायक,09-Jun-24,Incumbent,Bharatiya Janata Party
Ramdas Athawale,रामदास आठवले,09-Jun-24,Incumbent,Republican Party Of India (A)
B. L. Verma,बनवारी लाल वर्मा,09-Jun-24,Incumbent,Bharatiya Janata Party
Ram Nath Thakur,राम नाथ ठाकुर,09-Jun-24,Incumbent,Janata Dal (United)
Ravneet Singh Bittu,रवनीत सिंह बिट्टू,09-Jun-24,Incumbent,Bharatiya Janata Party
Pemmasani Chandra Sekhar,चंद्रशेखर पेम्मासानी,09-Jun-24,Incumbent,Telugu Desam Party
George Kurian,जॉर्ज कुरियन,09-Jun-24,Incumbent,Bharatiya Janata Party
Pabitra Margherita,पबित्रा मार्गेरिटा,09-Jun-24,Incumbent,Bharatiya Janata Party
Satish Chandra Dubey,सतीश चन्द्र दुबे,09-Jun-24,Incumbent,Bharatiya Janata Party
